id,name,parent,size
1,Australia,,5882.1
2,NSW,1,1417.7
3,Coal,2,525.4
4,Oil,2,619.2
5,Gas,2,134.3
6,Renewables,2,138.8
7,VIC,1,1190.8
8,Coal,7,398.2
9,Oil,7,465.6
10,Gas,7,215.2
11,Renewables,7,111.8
12,QLD,1,1456.4
13,Coal,12,471.1
14,Oil,12,532.6
15,Gas,12,290.5
16,Renewables,12,162.2
17,WA,1,1293.5
18,Coal,17,99.4
19,Oil,17,447.1
20,Gas,17,704.8
21,Renewables,17,42.2
22,SA,1,294.7
23,Coal,22,22
24,Oil,22,144.9
25,Gas,22,74.8
26,Renewables,22,53
27,TAS,1,99.4
28,Coal,27,8.8
29,Oil,27,39.5
30,Gas,27,7.2
31,Renewables,27,43.9
32,NT,1,129.6
33,Oil,32,36.6
34,Gas,32,91.3
35,Renewables,32,1.7